Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
,http://www.wikidata.org/entity/Q18545742,The Hunt Picnic,Birmingham Museum of Art,Rococo,Birmingham Museum of Art,Birmingham Museum of Art,Christophe Huet,oil paint,United States of America,,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hunt%20Picnic%20-%20Christophe%20Huet.jpg
,http://www.wikidata.org/entity/Q18551596,Children of the Marquis de Béthune Playing with a Dog,Birmingham Museum of Art,,Birmingham Museum of Art,private collection,Fran�ois-Hubert Drouais,oil paint,,,public domain,,1761,http://commons.wikimedia.org/wiki/Special:FilePath/LesPortraits%20de%20MM.%20De%20B%C3%A9thune%20Jouant%20avec%20un%20Chien-Fran%C3%A7ois-Hubert%20Drouais-BMA.jpg
,http://www.wikidata.org/entity/Q18572637,Robbing the Pigeon Roost (Chasing Doves),Birmingham Museum of Art,,Birmingham Museum of Art,Birmingham Museum of Art,Frederick Arthur Bridgman,oil paint,,,public domain,,1868,http://commons.wikimedia.org/wiki/Special:FilePath/Robbing%20the%20Pigeon%20Roost%20-%20Frederick%20Arthur%20Bridgman.jpg
,http://www.wikidata.org/entity/Q18549884,Leaving Home,Birmingham Museum of Art,,Birmingham Museum of Art,Birmingham Museum of Art,Gilbert Gaul,oil paint,United States of America,https://artsbma.org/collection/leaving-home/,public domain,,1907,http://commons.wikimedia.org/wiki/Special:FilePath/Leaving%20Home%2C%20by%20William%20Gilbert%20Gaul.jpg
,http://www.wikidata.org/entity/Q18583822,Tidings from the Front (The Letter),Birmingham Museum of Art,,Birmingham Museum of Art,Birmingham Museum of Art,Gilbert Gaul,oil paint,,http://www.artsbma.org/pieces/tidings-from-the-front-the-letter/,public domain,,1907,http://commons.wikimedia.org/wiki/Special:FilePath/Tidings%20from%20the%20Front%20by%20William%20Gilbert%20Gaul.jpg
,http://www.wikidata.org/entity/Q18579141,The van der Graeff Family,Birmingham Museum of Art,Dutch Golden Age painting,Birmingham Museum of Art,Birmingham Museum of Art,Johannes Mytens,oil paint,,http://www.artsbma.org/pieces/the-van-der-graeff-family/,public domain,,1654,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20der%20Graeff%20Family.jpg
,http://www.wikidata.org/entity/Q18578784,The Cascade at Tivoli,Birmingham Museum of Art,,Birmingham Museum of Art,Birmingham Museum of Art,Joseph Vernet,oil paint,United States of America,http://www.artsbma.org/pieces/the-cascade-at-tivoli/,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/Claude-Joseph%20Vernet%20-%20La%20cascade%20%C3%A0%20Tivoli%20%28Birmingham%20Museum%20of%20Art%29.jpg
The Long Engagement,http://www.wikidata.org/entity/Q4164441,The Long Engagement,Birmingham Museum of Art,Pre-Raphaelite Brotherhood,Birmingham Museums Trust,,Arthur Hughes,oil paint,,https://www.birminghammuseums.org.uk/explore-art/items/1902P13/the-long-engagement,public domain,,1854,http://commons.wikimedia.org/wiki/Special:FilePath/LongEngagementAHughes.jpg
,http://www.wikidata.org/entity/Q65455953,Departure of Aeneas,Brest’s Museum of Fine Arts,,Brest’s Museum of Fine Arts,,Francesco de Mura,oil paint,,https://www.photo.rmn.fr/archive/74-007245-2C6NU0H4KAHD.html,public domain,,1740,http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20de%20Mura%201740c%20Le%20d%C3%A9part%20d%27%C3%89n%C3%A9e.jpg
The Nativity,http://www.wikidata.org/entity/Q110257576,The adoration of the shepherds (Luke 2:8-20),Bristol City Museum and Art Gallery,,Bristol City Museum and Art Gallery,John Battersby Harford,Jacob Jordaens,oil paint,,https://vads.ac.uk/digital/collection/NIRP/id/30805,,,1653,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Jordaens%20-%20The%20Nativity%20BST%20BMAGG%20K1093.jpg
,http://www.wikidata.org/entity/Q114245755,A Flemish family,Null,,Brod Gallery,,Gillis van Tilborgh,oil paint,,,,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Gillis%20van%20Tilborgh%20-%20Familietafereel.jpg
,http://www.wikidata.org/entity/Q26678361,Bison attacked by three dogs,Museum of Fine Arts Ghent (MSK),,Broel Museum,,Roelant Savery,Null,,,public domain,,1626,http://commons.wikimedia.org/wiki/Special:FilePath/Bison%20Attacked%20by%20three%20Dogs%20by%20Roelant%20Savery%20Broelmuseum%2052.jpg
,http://www.wikidata.org/entity/Q20738789,Market Scene,Brooklyn Museum,,Brooklyn Museum,,Régis Fran�oisGignoux,oil paint,,https://www.brooklynmuseum.org/opencollection/objects/1587,public domain,,1862,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Market%20Scene%20-%20Marie-Francois-Regis%20Gignoux%20-%20overall.jpg
,http://www.wikidata.org/entity/Q20683317,Landscape after Ruisdael,Brooklyn Museum,,Brooklyn Museum,,Thomas Doughty,oil paint,,,public domain,,1846,http://commons.wikimedia.org/wiki/Special:FilePath/WLA%20brooklynmuseum%20Thomas%20Doughty%20Landscape%20after%20Ruisdael%204.jpg
Hunter on Horseback Attacked by a Lion,http://www.wikidata.org/entity/Q28802878,Hunter on Horseback Attacked by a Lion,Brooklyn Museum,,Brooklyn Museum,,,oil paint,,,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/Hunter%20on%20Horseback%20Attacked%20by%20a%20Lion%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q15833484,Man with Dog,Buffalo AKG Art Museum,,Buffalo AKG Art Museum,Hanover Gallery,Francis Bacon,oil paint,United States of America,https://www.albrightknox.org/artworks/k19553-man-dog,,,1953,
,http://www.wikidata.org/entity/Q110710287,"Portrait of a Girl, Aged One, with a Basket of Strawberries",Burrell Collection,,Burrell Collection,,,oil paint,,https://vads.ac.uk/digital/collection/NIRP/id/34223,,,1622,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Girl%2C%20Aged%20One%2C%20with%20a%20Basket%20of%20Strawberries%20GL%20GM%2035%20252-001.jpg
,http://www.wikidata.org/entity/Q24265820,,Círculo del Liceo,Art Nouveau,Círculo del Liceo,,Josep Cusachs,oil paint,,,public domain,,,http://commons.wikimedia.org/wiki/Special:FilePath/Josep%20Cusachs%20i%20Cusachs%20-%20La%20ca%C3%A7a.jpg
,http://www.wikidata.org/entity/Q74260852,Ville-d'Avray. - Le chemin de la gare,Calouste Gulbenkian Museum,,Calouste Gulbenkian Museum,,Jean-Baptiste Camille Corot,oil paint,,https://gulbenkian.pt/museu/en/works_museu/a-road-at-ville-davray/,,,1874,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Road%20at%20Ville%20d%27Avray%20Jean-Baptiste%20Camille%20Corot%201874.jpg
,http://www.wikidata.org/entity/Q42882674,Young Lady in Interior,Carnegie Museum of Art,,Carnegie Museum of Art,Howard Agnew Noble,Caspar Netscher,oil paint,,,public domain,,1680,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20Netscher%20-%20Young%20Lady%20in%20Interior.jpg
,http://www.wikidata.org/entity/Q106425283,Portrait of a Girl with a Dog,Carnegie Museum of Art,,Carnegie Museum of Art,Mrs. J. Willis Dalzell,Frederick Yeates Hurlstone,oil paint,,https://www.sothebys.com/en/auctions/ecatalogue/2013/old-master-and-19th-century-paintings-n09103/lot.528.html,,,1850,http://commons.wikimedia.org/wiki/Special:FilePath/Frederick%20Yates%20Hurlstone%20-%20Girl%20with%20Dog%20010N09103%206YWRR.jpg
,http://www.wikidata.org/entity/Q42879090,Landscape with a Natural Arch,Carnegie Museum of Art,,Carnegie Museum of Art,"Thomas Baring, 1st Earl of Northbrook",Gaspard Dughet,oil paint,,https://northbrook.cmoa.org/about/landscape-with-a-natural-arch/,public domain,,1672,http://commons.wikimedia.org/wiki/Special:FilePath/Gaspar%20Dughet%20-%20The%20Arch.jpg
Young woman with a maid and a lap dog in an interior,http://www.wikidata.org/entity/Q28146391,Lady with Servant and Dog,Carnegie Museum of Art,,Carnegie Museum of Art,Maximilian von Goldschmidt-Rothschild,Jacob Ochtervelt,oil paint,,,public domain,,1671,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Ochtervelt%20-%20Lady%20with%20Servant%20and%20Dog%2C%20c.%201671-1673%20-%20IMG%200725.jpg
The Garden of Eden with the Fall of Man,http://www.wikidata.org/entity/Q3898507,The Garden of Eden with the Fall of Man,Mauritshuis,,Catharina Backer,,Peter Paul Rubens,oil paint,,https://www.mauritshuis.nl/nl-nl/verdiep/de-collectie/kunstwerken/het-aardse-paradijs-met-de-zondeval-van-adam-en-eva-253/,public domain,,1617,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Brueghel%20de%20Oude%20%5E%20Peter%20Paul%20Rubens%20-%20The%20Garden%20of%20Eden%20with%20the%20Fall%20of%20Man%20-%20253%20-%20Mauritshuis.jpg
,http://www.wikidata.org/entity/Q24060669,The Return of the Prodigal Son,Centraal Museum,,Centraal Museum,,Abraham van Cuylenborch,Null,,http://centraalmuseum.nl/ontdekken/object/#o:1069,public domain,,1657,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Return%20of%20the%20Prodigal%20Son%20by%20Abraham%20van%20Cuylenburch%20Centraal%20Museum%202540.jpg
Landschap met  duiventil,http://www.wikidata.org/entity/Q23537080,The Dovecote,Centraal Museum,,Centraal Museum,,Charles Cornelisz. de Hooch,oil paint,,http://centraalmuseum.nl/ontdekken/object/#o:1020,public domain,,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Landscape%20with%20Travelers%20underneath%20a%20Dovecote%2C%20Monastery%20on%20the%20Right.png
Dog,http://www.wikidata.org/entity/Q2547869,Dog,Centraal Museum,,Centraal Museum,,Theo van Doesburg,oil paint,,http://centraalmuseum.nl/ontdekken/object/#o:29086,public domain,,1899,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20034.jpg
Twee honden,http://www.wikidata.org/entity/Q20019755,Two Dogs,Centraal Museum,,Centraal Museum,,Theo van Doesburg,paper,,http://centraalmuseum.nl/ontdekken/object/#o:29087,public domain,,1899,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20van%20Doesburg%20032.jpg
,http://www.wikidata.org/entity/Q78488375,,Château de Bussy-Rabutin,,Château de Bussy-Rabutin,,,Null,,https://regards.monuments-nationaux.fr/fr/asset-92613,,,1801,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Bussy-Rabutin%20-%20Paysage%20avec%20un%20chasseur%20et%20quatre%20chiens%20%28bgw19%200366%29.jpg
,http://www.wikidata.org/entity/Q76825790,,Château de Champs-sur-Marne,,Château de Champs-sur-Marne,,Alexandre-Fran�ois Desportes,oil paint,,https://regards.monuments-nationaux.fr/fr/asset-27977,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chien%20en%20arr%C3%AAt%20devant%20un%20faisan%20%28phbw13%200349%29.jpg
,http://www.wikidata.org/entity/Q76825823,,Château de Champs-sur-Marne,,Château de Champs-sur-Marne,,Alexandre-Fran�ois Desportes,oil paint,,https://regards.monuments-nationaux.fr/fr/asset-27944,public domain,,1720,http://commons.wikimedia.org/wiki/Special:FilePath/Deux%20chiens%20sur%20une%20terrasse%20%28pcw13%200328%29.jpg
,http://www.wikidata.org/entity/Q77036004,,Château de Maisons,,Château de Maisons,,Alfred de Dreux,oil paint,,https://regards.monuments-nationaux.fr/fr/asset-12309,,,1801,http://commons.wikimedia.org/wiki/Special:FilePath/Atalanta%20et%20son%20lad%20%28phbw12%200203%29.jpg
Two dogs in a landscape gaurding game,http://www.wikidata.org/entity/Q63296711,Dead Game and Dogs,Null,,Charles Sedelmeyer,Charles Sedelmeyer,David de Coninck,oil paint,,https://archive.org/details/illustratedcatal00gale_7/page/n15,public domain,,1644,
Four dogs and game in a landscape,http://www.wikidata.org/entity/Q63298619,Four Dogs in a Landscape with Dead Game,Null,,Charles Sedelmeyer,Charles Sedelmeyer,David de Coninck,oil paint,,https://archive.org/stream/300painti00gale#page/n51/mode/2up,public domain,,1650,
Kitchen interior with a slautghtered bull and a maid at a well,http://www.wikidata.org/entity/Q62569720,Interior of a Butcher's Shop,Null,,Charles Sedelmeyer,Charles Sedelmeyer,David Teniers the Younger,oil paint,,https://archive.org/stream/gri_33125003273709#page/n65,public domain,,1655,
Portrait of a woman,http://www.wikidata.org/entity/Q116914174,"Portrait of a woman and a dog, 1576",Null,,Charles Sedelmeyer,Edward R. Bacon,Frans Pourbus the Elder,oil paint,,https://archive.org/stream/illustratedcatal00gale_8#page/27,,,1576,
Portret van een onbekend meisje,http://www.wikidata.org/entity/Q108403404,Portrait of a girl with two dogs,Null,,Charles Sedelmeyer,Charles de Valori,,panel,,https://archive.org/stream/cataloguedetable02sede#page/26,,,1630,
Italianate landscape with a shepherd lying on a sarcophagus and a shepherdess suckling a child,http://www.wikidata.org/entity/Q62024232,Maternal Occupation,Museum der bildenden Künste,,Charles Sedelmeyer collection,Henry Bevan,Adriaen van de Velde,oil paint,,,public domain,,1667,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20de%20Velde%20-%20Italianiserend%20landschap%20met%20een%20herder%2C%20liggend%20op%20een%20sarcofaag%20en%20een%20herderin%20die%20een%20kind%20de%20borst%20geeft%20-%20818%20-%20Museum%20der%20bildenden%20K%C3%BCnste.jpg
"Young woman at her toilet, with a page",http://www.wikidata.org/entity/Q58436855,A Lady and a Page,private collection,,Charles Sedelmeyer collection,Catalina von Pannwitz,Gabriel Metsu,oil paint,,https://archive.org/stream/catalogueraisonn01hofsuoft#page/282/mode/1up,public domain,,1659,
The Visit to the Nursery,http://www.wikidata.org/entity/Q19911492,The Visit to the Nursery,Metropolitan Museum of Art,,Charles Sedelmeyer collection,Metropolitan Museum of Art,Gabriel Metsu,oil paint,,,public domain,,1661,http://commons.wikimedia.org/wiki/Special:FilePath/Visit%20to%20the%20nursery%2C%20by%20Gabri%C3%ABl%20Metsu.jpg
,http://www.wikidata.org/entity/Q108744586,David and Abigail,Chhatrapati Shivaji Maharaj Museum,,Chhatrapati Shivaji Maharaj Museum,,Erasmus Quellinus II,oil paint,,,,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Erasmus%20quellinus%20II%2C%20david%20e%20abigaille%2C%201650%20ca.%2001.jpg
,http://www.wikidata.org/entity/Q111988919,Beach Scene with Figure,Chile,,Chilean National Museum of Fine Arts,,Pedro Lira Rencoret,oil paint,,https://www.surdoc.cl/registro/2-175,,,1900,http://commons.wikimedia.org/wiki/Special:FilePath/%22Escena%20de%20playa%20con%20figura%22.jpg
L'Ultima Cena,http://www.wikidata.org/entity/Q2472983,Last Supper,Church of San Giorgio Maggiore,Venetian school,Church of San Giorgio Maggiore,Abbey of San Giorgio Maggiore,Jacopo Tintoretto,oil paint,Italy,https://www.wga.hu/html/t/tintoret/5_1580s/3lastsup.html,public domain,mannerism,1590,http://commons.wikimedia.org/wiki/Special:FilePath/Tintosoup.jpg
Little Bo-Peep,http://www.wikidata.org/entity/Q46948491,Little Bo-Peep,Cincinnati Art Museum,,Cincinnati Art Museum,,Alvan Fisher,oil paint,,,public domain,,1835,http://commons.wikimedia.org/wiki/Special:FilePath/%27Little%20Bo-Peep%27%20by%20Alvan%20Fisher%2C%20Cincinnati%20Art%20Museum.JPG
,http://www.wikidata.org/entity/Q64626721,Lute Player and Boy with Dog,Cincinnati Art Museum,,Cincinnati Art Museum,,Jan Verkolje,oil paint,,,public domain,,1675,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20both%2C%20suonatrice%20di%20liuto%20con%20ragazzo%20e%20cane%2C%201670-80%20ca.jpg
,http://www.wikidata.org/entity/Q676955,The Supper at Emmaus,Cittadella,,Cittadella Duomo,,Jacopo Bassano,oil paint,,https://www.wga.hu/html/b/bassano/jacopo/1/02emmaus.html,public domain,,1538,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20da%20Ponte%20Cena%20in%20Emmaus.jpg
Le Marché d'esclaves,http://www.wikidata.org/entity/Q3224275,The Slave Market,Clark Art Institute,Orientalism,Clark Art Institute,,Jean-Léon Gérôme,oil paint,,http://www.clarkart.edu/Collection/5538,public domain,,1866,http://commons.wikimedia.org/wiki/Special:FilePath/Geromeslavemarket.jpg
A View of Naples through a Window,http://www.wikidata.org/entity/Q60477072,A View of Naples through a Window,Cleveland Museum of Art,,Cleveland Museum of Art,,Franz Ludwig Catel,paper,,https://clevelandart.org/art/1994.198,public domain,,1824,http://commons.wikimedia.org/wiki/Special:FilePath/Franz%20Ludwig%20Catel%20-%20A%20View%20of%20Naples%20through%20a%20Window%20-%201994.198%20-%20Cleveland%20Museum%20of%20Art.tiff
Portrait of a Woman with a Dog,http://www.wikidata.org/entity/Q60480828,Portrait of a Woman with a Dog,Villa San Donato,,Cleveland Museum of Art,,Hendrik Gerritsz Pot,oil paint,,https://clevelandart.org/art/2011.47,public domain,,1635,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrik%20Gerritsz.%20Pot%20-%20Portrait%20of%20a%20Woman%20with%20a%20Dog%20-%202011.47%20-%20Cleveland%20Museum%20of%20Art.tiff
Landscape with Hunters,http://www.wikidata.org/entity/Q60480833,Landscape with Hunters,Cleveland Museum of Art,,Cleveland Museum of Art,,Jan Wijnants,oil paint,,https://clevelandart.org/art/2011.48,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Wijnants%20-%20Landscape%20with%20Hunters%20-%202011.48%20-%20Cleveland%20Museum%20of%20Art.jpg
A Woman from the Land of Eskimos,http://www.wikidata.org/entity/Q60474532,A Woman from the Land of Eskimos,Cleveland Museum of Art,,Cleveland Museum of Art,,Léon Cogniet,oil paint,,https://clevelandart.org/art/1980.249,public domain,,1826,http://commons.wikimedia.org/wiki/Special:FilePath/L%C3%A9on%20Cogniet%20-%20A%20Woman%20from%20the%20Land%20of%20Eskimos%20-%201980.249%20-%20Cleveland%20Museum%20of%20Art.tif
"Sir Anthony Mildmay, Knight of Apethorpe, Northamptonshire",http://www.wikidata.org/entity/Q80000810,"Sir Anthony Mildmay, Knight of Apethorpe, Northamptonshire",Cleveland Museum of Art,,Cleveland Museum of Art,,Nicholas Hilliard,vellum,,https://clevelandart.org/art/1926.554,public domain,,1590,http://commons.wikimedia.org/wiki/Special:FilePath/Nicholas%20Hilliard%20-%20Portrait%20of%20Sir%20Anthony%20Mildmay%2C%20Knight%20of%20Apethorpe%2C%20Northants%20-%201926.554%20-%20Cleveland%20Museum%20of%20Art.tif
Crab fishers by moonlight,http://www.wikidata.org/entity/Q56678794,Moonlight Landscape with Crab Fishermen,private collection,,Cleveland Museum of Art,,Nicolaes Pieterszoon Berchem,oil paint,,,public domain,,1645,
"Dune landscape with figures loading wood onto the back of a horse, and two hunters",http://www.wikidata.org/entity/Q50287938,Dune Landscape with Figures,private collection,,Cleveland Museum of Art,Gerrit Braamcamp,Philips Wouwerman,oil paint,,http://www.sothebys.com/en/auctions/ecatalogue/2011/important-old-master-paintings-sculpture-n08712/lot.159.html,public domain,,1644,http://commons.wikimedia.org/wiki/Special:FilePath/Philips%20Wouwerman%20-%20Dune%20Landscape%20with%20Figures%201945N08712%205XZ98.jpg
Traveling Warriors Stopping at a Farm,http://www.wikidata.org/entity/Q60476970,Traveling Warriors Stopping at a Farm,Cleveland Museum of Art,,Cleveland Museum of Art,,,Null,,https://clevelandart.org/art/1992.84,public domain,,1800,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Traveling%20Warriors%20Stopping%20at%20a%20Farm%20-%201992.84%20-%20Cleveland%20Museum%20of%20Art.tiff
,http://www.wikidata.org/entity/Q51725930,Havana Bay,Null,,Colección Patricia Phelps de Cisneros,,Charles De Wolf Brownell,oil paint,,,public domain,,1856,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20de%20Wolf%20Brownell%20-%20Havana%20Bay.jpg
"A View in the Island of Jamaica, of the Spring-Head of Roaring River on the Estate of William Beckford Esq.",http://www.wikidata.org/entity/Q51917814,"A View in the Island of Jamaica, of the Spring-Head of Roaring River on the Estate of William Beckford Esq.",Null,,Colección Patricia Phelps de Cisneros,,John Boydell,Null,,,public domain,,1778,
Esmeralda on the Orinoco,http://www.wikidata.org/entity/Q51925748,Esmeralda on the Orinoco,Null,Costumbrismo,Colección Patricia Phelps de Cisneros,,Robert Hermann Schomburgk,Null,,,public domain,,1840,
The Last Supper,http://www.wikidata.org/entity/Q109287241,The Last Supper,Heraklion,Cretan School,Collection of Agia Aikaterini of Sinai,,Michael Damaskinos,tempera,,http://pandektis.ekt.gr/dspace/handle/10442/84727,public domain,,1589,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Damaskinos%20The%20Last%20Supper.png
,http://www.wikidata.org/entity/Q51668973,Portrait of Andries Stilte (1639-1640),Columbus Museum of Art,,Columbus Museum of Art,,Johannes Cornelisz Verspronck,oil paint,,,public domain,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Cornelisz%20Verspronck%20-%20Portrait%20of%20Andries%20Stilte%20%281639-40%29.jpg
,http://www.wikidata.org/entity/Q106947245,,Condé Museum,,Condé Museum,"Prince Henri, Duke of Aumale",Adriaen de Grijef,oil paint,,,,,1698,http://commons.wikimedia.org/wiki/Special:FilePath/Chasse%20%C3%A0%20l%27ours%20-%20De%20Gryef%20-%20Mus%C3%A9e%20Cond%C3%A9.jpg
The Duke of Orléans and the Duke of Chartres at a meet in 1787,http://www.wikidata.org/entity/Q64900303,The Duke of Orléans and the Duke of Chartres at a meet in 1787,Condé Museum,,Condé Museum,,Carle Vernet,oil paint,,,public domain,,1788,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A2teau%20de%20Chantilly%2C%20Carle%20Vernet%2C%20the%20dukes%20of%20Orleans%20and%20Chartres.jpg
,http://www.wikidata.org/entity/Q106463015,,Condé Museum,,Condé Museum,"Prince Henri, Duke of Aumale",Francesco Pesellino,tempera,,,public domain,,1450,http://commons.wikimedia.org/wiki/Special:FilePath/Adoration%20des%20mages%20-%20Pesellino%20-%20Mus%C3%A9e%20Cond%C3%A9.jpg
