Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
Viehstück,http://www.wikidata.org/entity/Q30094415,Viehstück,Alte Pinakothek,,Bavarian State Painting Collections,,Philipp Peter Roos,Null,,,public domain,,1681,http://commons.wikimedia.org/wiki/Special:FilePath/Philipp%20Peter%20Roos%20%28gen.%20Rosa%20da%20Tivoli%29%20-%20Viehst%C3%BCck%20-%205890%20-%20Bavarian%20State%20Painting%20Collections.jpg
Predigt Johannes des Täufers (nach Pieter Bruegel d. Ä.),http://www.wikidata.org/entity/Q29960022,Predigt Johannes des Täufers (nach Pieter Bruegel d. Ä.),Alte Pinakothek,,Bavarian State Painting Collections,,Pieter Breughel the Younger,oil paint,,,public domain,,1615,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Brueghel%20d.%20J.%20-%20Predigt%20Johannes%20des%20T%C3%A4ufers%20%28nach%20Pieter%20Bruegel%20d.%20%C3%84.%29%20-%201885%20-%20Bavarian%20State%20Painting%20Collections.jpg
Das letzte Abendmahl,http://www.wikidata.org/entity/Q29899073,Last Supper,Alte Pinakothek,,Bavarian State Painting Collections,,Pieter Coecke van Aelst,oil paint,,,public domain,,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Coecke%20van%20Aelst%20%28Replik%29%20-%20Das%20letzte%20Abendmahl%20-%201479%20-%20Bavarian%20State%20Painting%20Collections.jpg
Alexandre coupe le noeud gordien,http://www.wikidata.org/entity/Q59211598,Alexander cuts the Gordian Knot,Beaux-Arts de Paris,,Beaux-Arts de Paris,,Jean-Simon Berthélemy,oil paint,,,public domain,,1767,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20cuts%20the%20Gordian%20Knot.jpg
,http://www.wikidata.org/entity/Q19697998,Moonlight night. Zdravnevo,Belarusian National Arts Museum,,Belarusian National Arts Museum,,Ilya Repin,oil paint,,,public domain,,1896,http://commons.wikimedia.org/wiki/Special:FilePath/Repin%20Iliya%20Moon%20night.jpg
Die Heimkehr,http://www.wikidata.org/entity/Q58343120,Die Heimkehr,Belvedere,,Belvedere,,Friedrich Gauermann,oil paint,,,public domain,,,http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20August%20Mathias%20Gauermann%20-%20Die%20Heimkehr%20-%201391%20-%20%C3%96sterreichische%20Galerie%20Belvedere.jpg
Architectural Caprice with a Palace,http://www.wikidata.org/entity/Q18683414,Architectural Caprice with a Palace,Bilbao Fine Arts Museum,,Bilbao Fine Arts Museum,,Bernardo Bellotto,oil paint,,http://www.museobilbao.com/catalogo-online/capricho-arquitectonico-con-un-palacio-69354,public domain,,1765,http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Bellotto%20-%20Architectural%20Caprice%20with%20a%20Palace%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q19686405,Architectural Caprice with Figures,Bilbao Fine Arts Museum,,Bilbao Fine Arts Museum,,Hans Vredeman de Vries,Null,,http://www.museobilbao.com/catalogo-online/arquitectura-fantastica-con-personajes-89131,public domain,,1568,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Vredeman%20de%20Vries%20-%20Architectural%20Caprice%20with%20Figures%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q18539007,The Cold Drink,Birmingham Museum of Art,Orientalism,Birmingham Museum of Art,Birmingham Museum of Art,Christophe Huet,oil paint,,http://www.artsbma.org/pieces/la-boisson-froide-the-cold-drink/,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/La%20boisson%20froide%20-%20Christophe%20Huet.jpg
,http://www.wikidata.org/entity/Q18538706,The Hot Drink,Birmingham Museum of Art,Orientalism,Birmingham Museum of Art,Birmingham Museum of Art,Christophe Huet,oil paint,,,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/La%20boisson%20chaude%20-%20Christophe%20Huet.jpg
